freq_mhz,step,ue_id,prx_dbm,prx_dbm_theo
3500.0,90,2,-77.18011449158081,-52.921344582238746
3500.0,90,3,-72.27604831323444,-49.59179656952244
3500.0,90,4,-80.51862231000288,-55.82219430687783
3500.0,91,0,-76.4721275169126,-51.48881590222982
3500.0,91,1,-80.28598528815724,-57.70836782584667
3500.0,91,2,-77.10586242087828,-52.82729821208515
3500.0,91,3,-72.21057481019899,-49.51061253129986
3500.0,91,4,-83.12013970062806,-55.863657023293676
3500.0,92,0,-76.5612863585529,-51.60248866337275
3500.0,92,1,-80.2963713904202,-57.75562573886641
3500.0,92,2,-76.97757153366248,-52.73235797517644
3500.0,92,3,-72.14283384703742,-49.42951151006882
3500.0,92,4,-83.03283492830212,-55.90539112201881
3500.0,93,0,-76.68815340097176,-51.71504378884088
3500.0,93,1,-80.30764727364668,-57.80277326244107
3500.0,93,2,-76.90147485090569,-52.636547635290256
3500.0,93,3,-72.05265805054105,-49.34867448820118
3500.0,93,4,-82.98118970610165,-55.947404196395674
3500.0,94,0,-76.81891596653975,-51.826476500325924
3500.0,94,1,-80.29252147877847,-57.84980616740465
3500.0,94,2,-76.80033586495263,-52.53985165020474
3500.0,94,3,-71.98844460262124,-49.26788014198918
3500.0,94,4,-82.91523940598185,-55.98967998999555
3500.0,95,0,-76.90995358003242,-51.936776541996615
3500.0,95,1,-80.3040032516655,-57.896718176541434
3500.0,95,2,-76.67156507348123,-52.442252195162624
3500.0,95,3,-71.92642697008304,-49.18720843412778
3500.0,95,4,-82.83915517871915,-56.03219972175618
3500.0,96,0,-77.01916559791677,-52.0459805338074
3500.0,96,1,-80.31800593107654,-57.94351443942044
3500.0,96,2,-76.61081259598606,-52.34375902675363
3500.0,96,3,-71.86277734134188,-49.106810185457064
3500.0,96,4,-82.76024902733498,-56.074961347311756
3500.0,97,0,-77.14142930137434,-52.15408846075058
3500.0,97,1,-80.3343498063232,-57.99019114752664
3500.0,97,2,-76.50259816723234,-52.244359476207016
3500.0,97,3,-71.79097504222062,-49.02677815459532
3500.0,97,4,-82.26645767806227,-56.11794975497401
3500.0,98,0,-77.25954520935639,-52.26111148363643
3500.0,98,1,-80.35083088968514,-58.03674697101755
3500.0,98,2,-76.39472013254513,-52.1440492290687
3500.0,98,3,-71.72750631441741,-48.94692467394161
3500.0,98,4,-82.11753919688157,-56.16115375799624
3500.0,99,0,-70.63273781113242,-52.36706137773375
3500.0,99,1,-80.26427740640773,-58.083180675514534
3500.0,99,2,-76.28461170441084,-52.04282492662124
3500.0,99,3,-71.6627104884536,-48.86736675627594
3500.0,99,4,-82.0272632125469,-56.20456243130216
3500.0,100,0,-70.64640331425844,-52.47189083773772
3500.0,100,1,-80.27090575299309,-58.129475794898276
3500.0,100,2,-76.17342266597639,-51.94063014605392
3500.0,100,3,-71.60025293034623,-48.788095299901286
3500.0,100,4,-81.95641467434442,-56.24814198225376
